GMID,Market,PRODUCT_FAMILY,DOSAGE_STRENGTH,MATERIAL_TYPE,LSD_STATUS,MCO_SEGMENTATION,STRATEGY_SEGMENTATION,SMART_SEGMENTATION
160071,NL,16,1400 MG/10 ML,FG,No,Top MCO,Platinum,Supply Growth
110002,DE,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
700039,NL,7,84 MG,FG,No,Top MCO,Auto Piloted,Secure
150107,RO,15,"200 MG/1,14 ML",FG,Global,Regular MCO,Platinum,Supply Growth
110002,IE,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
150175,DB,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
800029,PH,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
400055,DE,4,750 IU,FG,No,Top MCO,Gold,Secure
700002,UA,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
110005,IT,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
170015,PK,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
150215,BG,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110002,NL,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
140027,TH,14,"150 MG/1,14 ML",FG,No,Regular MCO,Gold,Secure
170019,AL,17,35 MG,FG,Global,Regular MCO,Platinum,Secure
300015,CO,3,10 MG,FG,No,Regular MCO,Auto Piloted,Secure
160070,BH,16,500 MG/25 ML,FG,No,Regular MCO,Gold,Supply Growth
600010,M6,6,"2,9 MG/5 ML",FG,No,Regular MCO,Auto Piloted,Secure
110017,EU,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
100010,PR,1,250 IU,FG,No,Top MCO,Auto Piloted,Secure
110002,PA,11,50 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Secure
110010,IT,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
100006,US,1,250 IU,FG,No,Top MCO,Auto Piloted,Secure
140053,DB,14,"150 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
120010,AT,12,100 MG/10 ML,FG,Global,Top MCO,Platinum,Supply Growth
110002,PE,11,50 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Secure
300001,0,3,10 MG,FG,No,Regular MCO,Auto Piloted,Secure
110003,CA,11,50 MG/10 ML,FG,No,Top MCO,Platinum,Secure
110003,CU,11,50 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Secure
160001,SA,16,500 MG/25 ML,FG,No,Regular MCO,Gold,Supply Growth
110034,DE,11,50 MG,FG,No,Top MCO,Gold,Secure
150009,SE,15,300 MG/2 ML,FG,Global,Top MCO,Platinum,Supply Growth
110014,DE,11,50 MG,FG,No,Top MCO,Gold,Secure
800040,TN,8,400 IU,FG,No,Regular MCO,Gold,Secure
150190,NL,15,300 MG/2 ML,FG,No,Top MCO,Platinum,Supply Growth
150018,GR,15,300 MG/2 ML,FG,No,Major MCO,Gold,Supply Growth
110042,DZ,11,50 MG/10 ML,FG,Global,Regular MCO,Platinum,Secure
110003,IE,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
140063,DB,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
110003,US,11,50 MG/10 ML,FG,Global,Top MCO,Platinum,Secure
140001,FR,14,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
150163,CA,15,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Supply Growth
110004,DE,11,50 MG/10 ML,FG,Global,Top MCO,Platinum,Secure
130013,KR,13,20 MG/5 ML,FG,No,Major MCO,Auto Piloted,Secure
800043,MA,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
120029,CZ,12,100 MG/10 ML,FG,Global,Regular MCO,Platinum,Supply Growth
600026,SE,6,100 IU/1 ML,FG,Global,Top MCO,Platinum,Secure
160073,PR,16,500 MG/25 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
700010,SG,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
600039,SA,6,100 IU/1 ML,FG,Global,Regular MCO,Platinum,Secure
150024,PE,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110012,IT,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
150137,IL,15,300 MG/2 ML,FG,No,Major MCO,Gold,Supply Growth
600016,M6,6,"2,9 MG/5 ML",FG,No,Regular MCO,Auto Piloted,Secure
110004,IE,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
110004,NL,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
110005,DE,11,50 MG/10 ML,FG,Global,Top MCO,Platinum,Secure
110025,AU,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
700023,KW,7,84 MG,FG,Global,Regular MCO,Platinum,Secure
150145,DE,15,"200 MG/1,14 ML",FG,No,Top MCO,Gold,Supply Growth
150126,DE,15,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Supply Growth
700050,TW,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
100014,EX,1,250 IU,FG,No,Regular MCO,Auto Piloted,Secure
150001,RU,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
800027,RU,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
150211,DE,15,300 MG/2 ML,FG,No,Top MCO,Platinum,Supply Growth
400018,TW,4,2 KIU,FG,No,Regular MCO,Gold,Secure
110005,PE,11,50 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Secure
100054,KR,1,1 KIU,FG,No,Major MCO,Auto Piloted,Secure
110005,IE,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
400043,TW,4,500 IU,FG,No,Regular MCO,Gold,Secure
170074,CO,17,5 MG/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
110005,NL,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
110006,US,11,50 MG,FG,No,Top MCO,Platinum,Secure
170024,AT,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
170098,FR,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
700023,SP,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
150124,FR,15,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Supply Growth
110061,PK,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
110032,PL,11,50 MG,FG,No,Major MCO,Auto Piloted,Secure
140002,FR,14,"150 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
110037,FR,11,50 MG/ML,FG,No,Top MCO,Auto Piloted,Secure
800081,SP,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110032,SG,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
140007,DE,14,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
150032,NA,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110008,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
800062,US,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
110008,NL,11,50 MG,FG,No,Top MCO,Platinum,Secure
160004,GB,16,500 MG/25 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110017,JP,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
170040,OM,17,5 MG,FG,Global,Regular MCO,Platinum,Secure
600013,PH,6,"2,9 MG/5 ML",FG,Global,Regular MCO,Platinum,Secure
150121,NL,15,300 MG/2 ML,FG,No,Top MCO,Platinum,Supply Growth
110015,FR,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
400008,CA,4,250 IU,FG,No,Top MCO,Platinum,Secure
800048,US,8,400 IU,FG,No,Top MCO,Platinum,Secure
110009,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
140049,FR,14,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
130013,UN,13,20 MG/5 ML,FG,No,Regular MCO,Auto Piloted,Secure
110060,SI,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
600016,IN,6,"2,9 MG/5 ML",FG,Global,Regular MCO,Platinum,Secure
110057,SP,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
110009,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
170090,UY,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
150008,TR,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
140003,FR,14,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
110010,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
800060,SK,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
700021,FI,7,84 MG,FG,No,Top MCO,Auto Piloted,Secure
170022,AT,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
110010,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
400060,EX,4,1 KIU,FG,No,Regular MCO,Auto Piloted,Secure
400002,US,4,2 KIU,FG,No,Top MCO,Auto Piloted,Secure
160071,AE,16,1400 MG/10 ML,FG,Global,Regular MCO,Platinum,Supply Growth
170102,PY,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
110011,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
800055,AU,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
150018,TR,15,300 MG/2 ML,FG,No,Regular MCO,Gold,Supply Growth
800044,OM,8,400 IU,FG,No,Regular MCO,Gold,Secure
800032,AF,8,400 IU,FG,No,Regular MCO,Gold,Secure
160014,BE,16,100 MG/5 ML,FG,No,Top MCO,Platinum,Supply Growth
800007,ZA,8,400 IU,FG,Global,Regular MCO,Platinum,Secure
110016,ME,11,50 MG,FG,Global,Regular MCO,Platinum,Secure
170021,PL,17,35 MG,FG,No,Major MCO,Auto Piloted,Secure
170052,M6,17,35 MG/7 ML,FG,No,Regular MCO,Auto Piloted,Secure
110011,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
300017,DE,3,10 MG,FG,No,Top MCO,Gold,Secure
170017,CS,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
150233,DB,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
170018,FR,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
140045,NL,14,"150 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
170003,HK,17,5 MG/1 ML,FG,No,Regular MCO,Gold,Secure
200022,KR,2,250 IU,FG,No,Major MCO,Auto Piloted,Supply Growth
300012,RO,3,10 MG,FG,Global,Regular MCO,Platinum,Secure
120023,MA,12,100 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
400013,UN,4,250 IU,FG,No,Regular MCO,Auto Piloted,Secure
170008,SE,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
700017,AE,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
150011,SK,15,300 MG/2 ML,FG,No,Regular MCO,Gold,Supply Growth
110012,DE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
160016,UN,16,100 MG/5 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110009,AU,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
110012,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
120003,FI,12,100 MG/10 ML,FG,Global,Top MCO,Platinum,Supply Growth
170039,MT,17,35 MG,FG,No,Regular MCO,Platinum,Secure
170012,NO,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
110012,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
150098,DB,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
150151,NA,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
170014,CA,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
700021,SI,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
110013,DE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
140015,EX,14,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
110016,DK,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
600003,M6,6,"2,9 MG/5 ML",FG,No,Regular MCO,Auto Piloted,Secure
110013,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
800040,NO,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
160071,CA,16,1400 MG/10 ML,FG,No,Top MCO,Platinum,Supply Growth
160021,DB,16,500 MG/25 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110013,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
200005,PR,2,250 IU,FG,No,Top MCO,Auto Piloted,Supply Growth
140014,IL,14,"150 MG/1,14 ML",FG,No,Major MCO,Gold,Secure
170097,M6,17,35 MG/7 ML,FG,No,Regular MCO,Auto Piloted,Secure
800038,AU,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
800020,EC,8,400 IU,FG,Global,Regular MCO,Platinum,Secure
110014,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
170021,MA,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
300008,EX,3,10 MG,FG,No,Regular MCO,Auto Piloted,Secure
400022,HK,4,500 IU,FG,No,Regular MCO,Gold,Secure
110014,LB,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150115,PA,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
800001,AU,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
170023,CN,17,35 MG,FG,No,Top MCO,Auto Piloted,Secure
170093,BA,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
110014,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110013,IT,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
140039,US,14,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
110015,HU,11,50 MG,FG,No,Major MCO,Auto Piloted,Secure
140004,FR,14,"150 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
400060,NL,4,1 KIU,FG,No,Top MCO,Auto Piloted,Secure
110015,IE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110015,NL,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
110016,AE,11,50 MG,FG,No,Regular MCO,Gold,Secure
100040,NL,1,4 KIU,FG,No,Top MCO,Auto Piloted,Secure
700010,SP,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
160069,EX,16,100 MG/5 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110016,AF,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
120004,ZA,12,100 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
600059,NL,6,"2,9 MG/5 ML",FG,No,Top MCO,Auto Piloted,Secure
700021,TR,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
110016,CA,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
100047,EX,1,500 IU,FG,No,Regular MCO,Auto Piloted,Secure
170086,TH,17,5 MG/1 ML,FG,No,Regular MCO,Auto Piloted,Secure
800041,DK,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
150100,DB,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
150170,FR,15,300 MG/2 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
900003,US,9,6 MG/3 ML,FG,No,Top MCO,Platinum,Secure
120018,AU,12,100 MG/10 ML,FG,Global,Regular MCO,Platinum,Supply Growth
150012,TH,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
300005,FI,3,10 MG,FG,Global,Top MCO,Platinum,Secure
800030,TW,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
170033,TW,17,5 MG,FG,No,Regular MCO,Auto Piloted,Secure
110012,TH,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150037,NA,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110014,US,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
800080,US,8,400 IU/10 ML,FG,No,Top MCO,Auto Piloted,Secure
110016,DE,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
160044,FR,16,500 MG/25 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
800043,TR,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110016,EE,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150029,MY,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
170091,0,17,5 MG,FG,No,Regular MCO,Auto Piloted,Secure
140005,FR,14,"150 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
140028,DB,14,"150 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
170024,OM,17,35 MG,FG,No,Regular MCO,Auto Piloted,Secure
200005,US,2,250 IU,FG,No,Top MCO,Auto Piloted,Supply Growth
110016,HU,11,50 MG,FG,No,Major MCO,Gold,Secure
600014,PA,6,"2,9 MG/5 ML",FG,No,Regular MCO,Auto Piloted,Secure
800027,PL,8,400 IU,FG,No,Major MCO,Auto Piloted,Secure
140021,FR,14,"150 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
700009,IL,7,84 MG,FG,No,Major MCO,Auto Piloted,Secure
110016,IE,11,50 MG,FG,Global,Top MCO,Platinum,Secure
120017,MA,12,100 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
140014,FR,14,"150 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Secure
800040,AT,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
100014,SG,1,250 IU,FG,No,Regular MCO,Auto Piloted,Secure
120044,AT,12,100 MG/10 ML,FG,No,Top MCO,Platinum,Supply Growth
170049,US,17,5 MG,FG,No,Top MCO,Platinum,Secure
700009,CZ,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
800044,US,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
150258,TW,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110016,IR,11,50 MG,FG,Global,Regular MCO,Platinum,Secure
800050,NL,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
160005,EX,16,100 MG/5 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
160011,CO,16,500 MG/25 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110060,AT,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
150156,FR,15,"200 MG/1,14 ML",FG,No,Top MCO,Auto Piloted,Supply Growth
110060,TR,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
800077,FR,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
800039,SI,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
800028,UA,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
160003,FR,16,100 MG/5 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
110016,LB,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
800060,UA,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110037,DK,11,50 MG/ML,FG,No,Top MCO,Auto Piloted,Secure
